ID,Data,Classification
1642889498890588161,"Kindergarten pre-registration is now open! If you have a child who will be enrolling in Kindergarten next year, please visit https://t.co/Vtcq4KM8It for more information. https://t.co/3Kot7dA3oi",FALSE
1642889492007723010,"@ChuckCallesto THE ALIENS DONT WANNA VISIT, WE DONT PROVIDE THEM A SINGLE BIT OF VALUE",FALSE
1642889490954944513,#NowPlaying On #HotxxMagOnlineRadio Boogiebaby x Lisa Lise - Never Chase Visit: https://t.co/j9qfBFfaAx Submit your music for rotation! Email: HotxxMagOnlineRadio@gmail.com #OnlineRadioStation #Music #Radio #IndieArtistBoogiebaby x Lisa Lise https://t.co/SPZX3tpfWi,FALSE
1642889490908758016,"@PCMckenna @TheNYRA @LeroyComrie @ItisMichaelle @timesunion Pouring money down a dark hole. Hardly anyone goes to Belmont and after a brief curiosity visit, new Belmont will be kinda empty just like now",FALSE
1642889486190411779,Total Knee Replacement For more information visit the website https://t.co/TabXbLSq5i E-Mail us at info@drgovindjoshi.com or call @ 9650141752 Dr Govind Vallabh Joshi #healthcare #health #knee #DrGovindJoshi #orthopedics #pain #painrelief #kneepain #Kneepainproblems https://t.co/m6TBT9SFbt,FALSE
1642889482134331393,@CounsellingSam Don't worry Sam. The CEO of OFCOM will soon get a visit from a gentleman with a brown envelope full of crisp £50 notes. Investigation closed. Nothing to see here.,FALSE
1642889480985100292,I spread bark butter on the trees to see who comes to visit. First friends to stop by this morning were a crow and squirrel!,FALSE
1642889478879715328,"#GodNightMonday Visit ⤵️⤵️ Download our official app ""Sant Rampal Ji Maharaj"" In Playstore से करें। https://t.co/eZve0wbzre",FALSE
1642889475914346498,"Modern House Design! Here's a Floor Plan which provides a clean and simple visual overview of the house for a free site visit, call us at +919885353531, +918823882339 #floorplans #architecturaldesigns #3dplans #building #constitution #contractor #builder #besthyderabadbuilders https://t.co/9Fh1qKSK8K",FALSE
1642889472080596995,"#HouseoftheWeek - 5 Oak Valley Lane, Purchas. NY. Stunning 6-bed, 7.2-bath cedar shingle home in Purchase inspired by renowned architect Robert A. M. Stern. If you are considering selling or buying a home, please contact me at 914.806.6868 or visit https://t.co/S9niDx96CK https://t.co/OUbQjwHsMr",FALSE
1642889466598547456,@MeghansMole Prince Harry ‘stayed at Frogmore Cottage’ during surprise UK visit (https://t.co/IrWJwh86UQ),TRUE
1642889463935148033,Arnold Town Res team boss Ashley Marshall could not hide hide his disappointment as his title chasing side came unstuck losing 2-3 at Bull Farm on Sat with a couple of crucial decisions going against the Eagles -Sat Apr 8th sees Basford U21s visit EV in County Cup action ko 3pm,FALSE
1642889462702014466,"@apmassaro3 Glad, to meet you Paul in Mykolaiv. Waiting for your next visit, and for future cooperation!🇺🇦❤️🇺🇲",FALSE
1642889462450384896,Celebrate Sport in Clarington from April 21 to 23! 🏒🏀🏈⚽️⚾️ ✅ Swim and skate for free all weekend ✅ Try the Fitness Training Centre (18+) on April 21 ✅ Visit the Celebrate Sport in Clarington Showcase on April 22 Learn more at https://t.co/yzEf9jYkVa. https://t.co/miNiTvpo6o,FALSE
1642889462421102594,Summer camp registration is finally open! Visit our website at https://t.co/MLX9MseOVt to reserve a spot today!! 😎 ☀️ https://t.co/N9Lt0NXkA1,FALSE
1642889460995039234,❤️ Happening all week! Come and visit the classrooms. /❤️ ¡Pasando toda la semana! Ven y visita los salones. https://t.co/G1INFpK3PL,FALSE
